species,matric_pot,hyphal_rate,type
a.gal3.s,-0.0,0.0093786614,smoothed
a.gal3.s,-0.01,0.0106074467,smoothed
a.gal3.s,-0.02,0.0119651919,smoothed
a.gal3.s,-0.03,0.0134608458,smoothed
a.gal3.s,-0.04,0.0151033799,smoothed
a.gal3.s,-0.05,0.0169017048,smoothed
a.gal3.s,-0.06,0.0188645785,smoothed
a.gal3.s,-0.07,0.021000508,smoothed
a.gal3.s,-0.08,0.0233176456,smoothed
a.gal3.s,-0.09,0.0258236801,smoothed
a.gal3.s,-0.1,0.0285257245,smoothed
a.gal3.s,-0.11,0.0314302027,smoothed
a.gal3.s,-0.12,0.034542735,smoothed
a.gal3.s,-0.13,0.0378680262,smoothed
a.gal3.s,-0.14,0.0414097564,smoothed
a.gal3.s,-0.15,0.0451704779,smoothed
a.gal3.s,-0.16,0.0491515192,smoothed
a.gal3.s,-0.17,0.0533528987,smoothed
a.gal3.s,-0.18,0.0577732495,smoothed
a.gal3.s,-0.19,0.0624097581,smoothed
a.gal3.s,-0.2,0.067258117,smoothed
a.gal3.s,-0.21,0.0723124944,smoothed
a.gal3.s,-0.22,0.0775655214,smoothed
a.gal3.s,-0.23,0.0830082977,smoothed
a.gal3.s,-0.24,0.0886304168,smoothed
a.gal3.s,-0.25,0.0944200102,smoothed
a.gal3.s,-0.26,0.1003638122,smoothed
a.gal3.s,-0.27,0.1064472431,smoothed
a.gal3.s,-0.28,0.1126545113,smoothed
a.gal3.s,-0.29,0.1189687326,smoothed
a.gal3.s,-0.3,0.1253720654,smoothed
a.gal3.s,-0.31,0.1318458602,smoothed
a.gal3.s,-0.32,0.1383708212,smoothed
a.gal3.s,-0.33,0.144927177,smoothed
a.gal3.s,-0.34,0.1514948596,smoothed
a.gal3.s,-0.35,0.1580536868,smoothed
a.gal3.s,-0.36,0.1645835472,smoothed
a.gal3.s,-0.37,0.1710645834,smoothed
a.gal3.s,-0.38,0.1774773722,smoothed
a.gal3.s,-0.39,0.1838030972,smoothed
a.gal3.s,-0.4,0.1900237131,smoothed
a.gal3.s,-0.41,0.196122098,smoothed
a.gal3.s,-0.42,0.2020821921,smoothed
a.gal3.s,-0.43,0.2078891211,smoothed
a.gal3.s,-0.44,0.2135293023,smoothed
a.gal3.s,-0.45,0.2189905325,smoothed
a.gal3.s,-0.46,0.224262057,smoothed
a.gal3.s,-0.47,0.2293346186,smoothed
a.gal3.s,-0.48,0.2342004875,smoothed
a.gal3.s,-0.49,0.2388534715,smoothed
a.gal3.s,-0.5,0.2432889072,smoothed
a.gal3.s,-0.51,0.2475036339,smoothed
a.gal3.s,-0.52,0.2514959503,smoothed
a.gal3.s,-0.53,0.255265556,smoothed
a.gal3.s,-0.54,0.2588134796,smoothed
a.gal3.s,-0.55,0.2621419948,smoothed
a.gal3.s,-0.56,0.2652545262,smoothed
a.gal3.s,-0.57,0.2681555485,smoothed
a.gal3.s,-0.58,0.2708504776,smoothed
a.gal3.s,-0.59,0.2733455597,smoothed
a.gal3.s,-0.6,0.2756477575,smoothed
a.gal3.s,-0.61,0.2777646356,smoothed
a.gal3.s,-0.62,0.2797042484,smoothed
a.gal3.s,-0.63,0.2814750308,smoothed
a.gal3.s,-0.64,0.283085692,smoothed
a.gal3.s,-0.65,0.2845451168,smoothed
a.gal3.s,-0.66,0.2858622719,smoothed
a.gal3.s,-0.67,0.2870461202,smoothed
a.gal3.s,-0.68,0.2881055428,smoothed
a.gal3.s,-0.69,0.2890492693,smoothed
a.gal3.s,-0.7,0.2898858169,smoothed
a.gal3.s,-0.71,0.2906234377,smoothed
a.gal3.s,-0.72,0.2912700743,smoothed
a.gal3.s,-0.73,0.2918333247,smoothed
a.gal3.s,-0.74,0.2923204136,smoothed
a.gal3.s,-0.75,0.2927381718,smoothed
a.gal3.s,-0.76,0.293093023,smoothed
a.gal3.s,-0.77,0.293390976,smoothed
a.gal3.s,-0.78,0.2936376226,smoothed
a.gal3.s,-0.79,0.2938381415,smoothed
a.gal3.s,-0.8,0.2939973051,smoothed
a.gal3.s,-0.81,0.2941194913,smoothed
a.gal3.s,-0.82,0.2942086972,smoothed
a.gal3.s,-0.83,0.2942685564,smoothed
a.gal3.s,-0.84,0.2943023571,smoothed
a.gal3.s,-0.85,0.2943130623,smoothed
a.gal3.s,-0.86,0.2943033306,smoothed
a.gal3.s,-0.87,0.2942755376,smoothed
a.gal3.s,-0.88,0.2942317972,smoothed
a.gal3.s,-0.89,0.2941739828,smoothed
a.gal3.s,-0.9,0.2941037482,smoothed
a.gal3.s,-0.91,0.2940225473,smoothed
a.gal3.s,-0.92,0.2939316537,smoothed
a.gal3.s,-0.93,0.2938321784,smoothed
a.gal3.s,-0.94,0.2937250871,smoothed
a.gal3.s,-0.95,0.2936112161,smoothed
a.gal3.s,-0.96,0.2934912869,smoothed
a.gal3.s,-0.97,0.2933659195,smoothed
a.gal3.s,-0.98,0.2932356452,smoothed
a.gal3.s,-0.99,0.2931009175,smoothed
a.gal3.s,-1.0,0.2929621219,smoothed
a.gal3.s,-1.01,0.2928195854,smoothed
