species,temp_c,hyphal_rate,type
h.crust.n,-5.0,0.324937629782649,smoothed
h.crust.n,-4.99,0.3252495504439306,smoothed
h.crust.n,-4.98,0.3255616817537131,smoothed
h.crust.n,-4.97,0.3258740237438387,smoothed
h.crust.n,-4.96,0.3261865764460079,smoothed
h.crust.n,-4.95,0.3264993398917782,smoothed
h.crust.n,-4.94,0.3268123141125666,smoothed
h.crust.n,-4.93,0.3271254991396458,smoothed
h.crust.n,-4.92,0.3274388950041468,smoothed
h.crust.n,-4.91,0.3277525017370584,smoothed
h.crust.n,-4.9,0.3280663193692257,smoothed
h.crust.n,-4.89,0.3283803479313509,smoothed
h.crust.n,-4.88,0.3286945874539931,smoothed
h.crust.n,-4.87,0.3290090379675682,smoothed
h.crust.n,-4.86,0.3293236995023476,smoothed
h.crust.n,-4.85,0.3296385720884603,smoothed
h.crust.n,-4.84,0.3299536557558905,smoothed
h.crust.n,-4.83,0.3302689505344781,smoothed
h.crust.n,-4.82,0.3305844564539197,smoothed
h.crust.n,-4.81,0.3309001735437662,smoothed
h.crust.n,-4.8,0.3312161018334255,smoothed
h.crust.n,-4.79,0.3315322413521588,smoothed
h.crust.n,-4.78,0.3318485921290838,smoothed
h.crust.n,-4.77,0.3321651541931728,smoothed
h.crust.n,-4.76,0.3324819275732522,smoothed
h.crust.n,-4.75,0.3327989122980038,smoothed
h.crust.n,-4.74,0.3331161083959629,smoothed
h.crust.n,-4.73,0.3334335158955198,smoothed
h.crust.n,-4.72,0.3337511348249186,smoothed
h.crust.n,-4.71,0.3340689652122569,smoothed
h.crust.n,-4.7,0.3343870070854862,smoothed
h.crust.n,-4.69,0.3347052604724121,smoothed
h.crust.n,-4.68,0.3350237254006921,smoothed
h.crust.n,-4.67,0.3353424018978383,smoothed
h.crust.n,-4.66,0.3356612899912159,smoothed
h.crust.n,-4.65,0.3359803897080415,smoothed
h.crust.n,-4.64,0.3362997010753853,smoothed
h.crust.n,-4.63,0.3366192241201706,smoothed
h.crust.n,-4.62,0.3369389588691718,smoothed
h.crust.n,-4.61,0.3372589053490163,smoothed
h.crust.n,-4.6,0.3375790635861831,smoothed
h.crust.n,-4.59,0.337899433607003,smoothed
h.crust.n,-4.58,0.3382200154376593,smoothed
h.crust.n,-4.57,0.3385408091041855,smoothed
h.crust.n,-4.56,0.3388618146324672,smoothed
h.crust.n,-4.55,0.3391830320482413,smoothed
h.crust.n,-4.54,0.3395044613770946,smoothed
h.crust.n,-4.53,0.3398261026444663,smoothed
h.crust.n,-4.52,0.3401479558756449,smoothed
h.crust.n,-4.51,0.3404700210957701,smoothed
h.crust.n,-4.5,0.3407922983298319,smoothed
h.crust.n,-4.49,0.3411147876026696,smoothed
h.crust.n,-4.48,0.3414374889389738,smoothed
h.crust.n,-4.47,0.3417604023632838,smoothed
h.crust.n,-4.46,0.3420835278999889,smoothed
h.crust.n,-4.45,0.342406865573328,smoothed
h.crust.n,-4.4399999999999995,0.3427304154073897,smoothed
h.crust.n,-4.43,0.3430541774261104,smoothed
h.crust.n,-4.42,0.343378151653276,smoothed
h.crust.n,-4.41,0.3437023381125226,smoothed
h.crust.n,-4.4,0.3440267368273327,smoothed
h.crust.n,-4.39,0.344351347821039,smoothed
h.crust.n,-4.38,0.3446761711168215,smoothed
h.crust.n,-4.37,0.3450012067377087,smoothed
h.crust.n,-4.36,0.3453264547065765,smoothed
h.crust.n,-4.35,0.3456519150461492,smoothed
h.crust.n,-4.34,0.3459775877789989,smoothed
h.crust.n,-4.33,0.3463034729275444,smoothed
h.crust.n,-4.32,0.3466295705140521,smoothed
h.crust.n,-4.31,0.3469558805606359,smoothed
h.crust.n,-4.3,0.3472824030892558,smoothed
h.crust.n,-4.29,0.3476091381217192,smoothed
h.crust.n,-4.28,0.3479360856796797,smoothed
h.crust.n,-4.27,0.3482632457846381,smoothed
h.crust.n,-4.26,0.34859061845794,smoothed
h.crust.n,-4.25,0.3489182037207786,smoothed
h.crust.n,-4.24,0.3492460015941925,smoothed
h.crust.n,-4.23,0.3495740120990657,smoothed
h.crust.n,-4.22,0.3499022352561285,smoothed
h.crust.n,-4.21,0.3502306710859557,smoothed
h.crust.n,-4.2,0.3505593196089677,smoothed
h.crust.n,-4.1899999999999995,0.3508881808454309,smoothed
h.crust.n,-4.18,0.3512172548154551,smoothed
h.crust.n,-4.17,0.3515465415389958,smoothed
h.crust.n,-4.16,0.3518760410358535,smoothed
h.crust.n,-4.15,0.3522057533256713,smoothed
h.crust.n,-4.14,0.3525356784279386,smoothed
h.crust.n,-4.13,0.3528658163619879,smoothed
h.crust.n,-4.12,0.353196167146996,smoothed
h.crust.n,-4.11,0.3535267308019827,smoothed
h.crust.n,-4.1,0.3538575073458121,smoothed
h.crust.n,-4.09,0.3541884967971911,smoothed
h.crust.n,-4.08,0.3545196991746714,smoothed
h.crust.n,-4.07,0.3548511144966454,smoothed
h.crust.n,-4.06,0.3551827427813502,smoothed
h.crust.n,-4.05,0.3555145840468649,smoothed
h.crust.n,-4.04,0.3558466383111115,smoothed
h.crust.n,-4.03,0.3561789055918544,smoothed
h.crust.n,-4.02,0.3565113859066999,smoothed
h.crust.n,-4.01,0.3568440792730963,smoothed
h.crust.n,-4.0,0.357176985708335,smoothed
h.crust.n,-3.99,0.3575101052295475,smoothed
h.crust.n,-3.98,0.3578434378537081,smoothed
h.crust.n,-3.97,0.3581769835976315,smoothed
h.crust.n,-3.96,0.3585107424779749,smoothed
h.crust.n,-3.95,0.3588447145112358,smoothed
h.crust.n,-3.94,0.3591788997137522,smoothed
h.crust.n,-3.93,0.3595132981017039,smoothed
h.crust.n,-3.92,0.3598479096911105,smoothed
h.crust.n,-3.91,0.3601827344978323,smoothed
h.crust.n,-3.9,0.3605177725375697,smoothed
h.crust.n,-3.89,0.3608530238258635,smoothed
h.crust.n,-3.88,0.3611884883780943,smoothed
h.crust.n,-3.87,0.3615241662094823,smoothed
h.crust.n,-3.86,0.3618600573350873,smoothed
h.crust.n,-3.85,0.3621961617698087,smoothed
h.crust.n,-3.84,0.3625324795283852,smoothed
h.crust.n,-3.83,0.3628690106253943,smoothed
h.crust.n,-3.82,0.3632057550752525,smoothed
h.crust.n,-3.81,0.3635427128922152,smoothed
h.crust.n,-3.8,0.3638798840903766,smoothed
h.crust.n,-3.79,0.3642172686836685,smoothed
h.crust.n,-3.78,0.3645548666858622,smoothed
h.crust.n,-3.77,0.3648926781105662,smoothed
h.crust.n,-3.76,0.3652307029712271,smoothed
h.crust.n,-3.75,0.3655689412811297,smoothed
h.crust.n,-3.74,0.3659073930533955,smoothed
h.crust.n,-3.73,0.3662460583009849,smoothed
h.crust.n,-3.72,0.3665849370366938,smoothed
h.crust.n,-3.71,0.3669240292731564,smoothed
h.crust.n,-3.7,0.3672633350228439,smoothed
h.crust.n,-3.69,0.3676028542980636,smoothed
h.crust.n,-3.68,0.3679425871109596,smoothed
h.crust.n,-3.67,0.3682825334735134,smoothed
h.crust.n,-3.66,0.3686226933975412,smoothed
h.crust.n,-3.65,0.3689630668946967,smoothed
h.crust.n,-3.64,0.3693036539764687,smoothed
h.crust.n,-3.63,0.3696444546541822,smoothed
h.crust.n,-3.62,0.3699854689389977,smoothed
h.crust.n,-3.61,0.3703266968419115,smoothed
h.crust.n,-3.5999999999999996,0.3706681383737544,smoothed
h.crust.n,-3.59,0.3710097935451936,smoothed
h.crust.n,-3.58,0.3713516623667303,smoothed
h.crust.n,-3.5700000000000003,0.3716937448487004,smoothed
h.crust.n,-3.56,0.372036041001275,smoothed
h.crust.n,-3.55,0.3723785508344598,smoothed
h.crust.n,-3.54,0.3727212743580945,smoothed
h.crust.n,-3.53,0.3730642115818531,smoothed
h.crust.n,-3.52,0.373407362515243,smoothed
h.crust.n,-3.51,0.3737507271676065,smoothed
h.crust.n,-3.5,0.3740943055481186,smoothed
h.crust.n,-3.49,0.3744380976657887,smoothed
h.crust.n,-3.48,0.3747821035294592,smoothed
h.crust.n,-3.47,0.3751263231478048,smoothed
h.crust.n,-3.46,0.3754707565293348,smoothed
h.crust.n,-3.45,0.3758154036823903,smoothed
h.crust.n,-3.44,0.3761602646151455,smoothed
h.crust.n,-3.4299999999999997,0.3765053393356063,smoothed
h.crust.n,-3.42,0.3768506278516128,smoothed
h.crust.n,-3.41,0.3771961301708355,smoothed
h.crust.n,-3.4,0.3775418463007778,smoothed
h.crust.n,-3.3899999999999997,0.3778877762487747,smoothed
h.crust.n,-3.38,0.3782339200219931,smoothed
h.crust.n,-3.37,0.3785802776274318,smoothed
h.crust.n,-3.36,0.3789268490719202,smoothed
h.crust.n,-3.3499999999999996,0.3792736343621194,smoothed
h.crust.n,-3.34,0.3796206335045217,smoothed
h.crust.n,-3.33,0.3799678465054503,smoothed
h.crust.n,-3.3200000000000003,0.3803152733710587,smoothed
h.crust.n,-3.31,0.3806629141073313,smoothed
h.crust.n,-3.3,0.3810107687200829,smoothed
h.crust.n,-3.29,0.3813588372149587,smoothed
h.crust.n,-3.28,0.3817071195974342,smoothed
h.crust.n,-3.27,0.382055615872814,smoothed
h.crust.n,-3.26,0.3824043260462338,smoothed
h.crust.n,-3.25,0.3827532501226574,smoothed
h.crust.n,-3.24,0.3831023881068791,smoothed
h.crust.n,-3.23,0.3834517400035225,smoothed
h.crust.n,-3.22,0.38380130581704,smoothed
h.crust.n,-3.21,0.3841510855517127,smoothed
h.crust.n,-3.2,0.3845010792116511,smoothed
h.crust.n,-3.19,0.3848512868007945,smoothed
h.crust.n,-3.1799999999999997,0.3852017083229099,smoothed
h.crust.n,-3.17,0.385552343781593,smoothed
h.crust.n,-3.16,0.3859031931802684,smoothed
h.crust.n,-3.15,0.3862542565221874,smoothed
h.crust.n,-3.1399999999999997,0.3866055338104305,smoothed
h.crust.n,-3.13,0.3869570250479043,smoothed
h.crust.n,-3.12,0.3873087302373453,smoothed
h.crust.n,-3.11,0.3876606493813146,smoothed
h.crust.n,-3.0999999999999996,0.3880127824822026,smoothed
h.crust.n,-3.09,0.3883651295422261,smoothed
h.crust.n,-3.08,0.3887176905634285,smoothed
h.crust.n,-3.0700000000000003,0.3890704655476802,smoothed
h.crust.n,-3.06,0.3894234544966782,smoothed
h.crust.n,-3.05,0.3897766574119463,smoothed
h.crust.n,-3.04,0.3901300742948337,smoothed
h.crust.n,-3.03,0.3904837051465163,smoothed
h.crust.n,-3.02,0.3908375499679954,smoothed
