species,matric_pot,hyphal_rate,type
l.crin.s,-0.0,0.143625612,smoothed
l.crin.s,-0.01,0.2040820917,smoothed
l.crin.s,-0.02,0.2840630298,smoothed
l.crin.s,-0.03,0.3874108195,smoothed
l.crin.s,-0.04,0.5178434372,smoothed
l.crin.s,-0.05,0.6786266136,smoothed
l.crin.s,-0.06,0.8722078124,smoothed
l.crin.s,-0.07,1.0998498065,smoothed
l.crin.s,-0.08,1.3613103919,smoothed
l.crin.s,-0.09,1.6546171824,smoothed
l.crin.s,-0.1,1.9759807396,smoothed
l.crin.s,-0.11,2.3198752263,smoothed
l.crin.s,-0.12,2.679294858,smoothed
l.crin.s,-0.13,3.0461698722,smoothed
l.crin.s,-0.14,3.4119018796,smoothed
l.crin.s,-0.15,3.7679598557,smoothed
l.crin.s,-0.16,4.1064683612,smoothed
l.crin.s,-0.17,4.4207208303,smoothed
l.crin.s,-0.18,4.7055626632,smoothed
l.crin.s,-0.19,4.9576090091,smoothed
l.crin.s,-0.2,5.1752865336,smoothed
l.crin.s,-0.21,5.3587125604,smoothed
l.crin.s,-0.22,5.5094445873,smoothed
l.crin.s,-0.23,5.6301454406,smoothed
l.crin.s,-0.24,5.7242131366,smoothed
l.crin.s,-0.25,5.7954205021,smoothed
l.crin.s,-0.26,5.847599789,smoothed
l.crin.s,-0.27,5.8843946076,smoothed
l.crin.s,-0.28,5.9090882427,smoothed
l.crin.s,-0.29,5.9245060283,smoothed
l.crin.s,-0.3,5.9329812708,smoothed
l.crin.s,-0.31,5.9363696976,smoothed
l.crin.s,-0.32,5.936096224,smoothed
l.crin.s,-0.33,5.9332191888,smoothed
l.crin.s,-0.34,5.9285001017,smoothed
l.crin.s,-0.35,5.9224704403,smoothed
l.crin.s,-0.36,5.915490399,smoothed
l.crin.s,-0.37,5.9077972848,smoothed
l.crin.s,-0.38,5.8995432767,smoothed
l.crin.s,-0.39,5.8908235238,smoothed
l.crin.s,-0.4,5.881696182,smoothed
l.crin.s,-0.41,5.8721961531,smoothed
l.crin.s,-0.42,5.862344164,smoothed
l.crin.s,-0.43,5.8521525621,smoothed
l.crin.s,-0.44,5.8416288918,smoothed
l.crin.s,-0.45,5.8307780329,smoothed
l.crin.s,-0.46,5.819603439,smoothed
l.crin.s,-0.47,5.808107833,smoothed
l.crin.s,-0.48,5.7962935867,smoothed
l.crin.s,-0.49,5.7841629214,smoothed
l.crin.s,-0.5,5.7717180109,smoothed
l.crin.s,-0.51,5.758961033,smoothed
l.crin.s,-0.52,5.7458941941,smoothed
l.crin.s,-0.53,5.7325197403,smoothed
l.crin.s,-0.54,5.7188399626,smoothed
l.crin.s,-0.55,5.7048571985,smoothed
l.crin.s,-0.56,5.6905738324,smoothed
l.crin.s,-0.57,5.6759922957,smoothed
l.crin.s,-0.58,5.6611150659,smoothed
l.crin.s,-0.59,5.6459446662,smoothed
l.crin.s,-0.6,5.6304836648,smoothed
l.crin.s,-0.61,5.614734674,smoothed
l.crin.s,-0.62,5.5987003498,smoothed
l.crin.s,-0.63,5.5823833909,smoothed
l.crin.s,-0.64,5.565786538,smoothed
l.crin.s,-0.65,5.5489125732,smoothed
l.crin.s,-0.66,5.5317643189,smoothed
l.crin.s,-0.67,5.5143446373,smoothed
l.crin.s,-0.68,5.4966564294,smoothed
l.crin.s,-0.69,5.4787026344,smoothed
l.crin.s,-0.7,5.4604862288,smoothed
l.crin.s,-0.71,5.4420102255,smoothed
l.crin.s,-0.72,5.4232776729,smoothed
l.crin.s,-0.73,5.4042916545,smoothed
l.crin.s,-0.74,5.3850552875,smoothed
l.crin.s,-0.75,5.3655717223,smoothed
l.crin.s,-0.76,5.3458441415,smoothed
l.crin.s,-0.77,5.3258757592,smoothed
l.crin.s,-0.78,5.3056698198,smoothed
l.crin.s,-0.79,5.2852295975,smoothed
l.crin.s,-0.8,5.2645583953,smoothed
l.crin.s,-0.81,5.2436595438,smoothed
l.crin.s,-0.82,5.2225364008,smoothed
l.crin.s,-0.83,5.2011923502,smoothed
l.crin.s,-0.84,5.1796308009,smoothed
l.crin.s,-0.85,5.1578551861,smoothed
l.crin.s,-0.86,5.1358689626,smoothed
l.crin.s,-0.87,5.1136756094,smoothed
l.crin.s,-0.88,5.0912786272,smoothed
l.crin.s,-0.89,5.0686815372,smoothed
l.crin.s,-0.9,5.0458878803,smoothed
l.crin.s,-0.91,5.0229012165,smoothed
l.crin.s,-0.92,4.9997251233,smoothed
l.crin.s,-0.93,4.9763631953,smoothed
l.crin.s,-0.94,4.9528190431,smoothed
l.crin.s,-0.95,4.9290962926,smoothed
l.crin.s,-0.96,4.9051985836,smoothed
l.crin.s,-0.97,4.8811295693,smoothed
l.crin.s,-0.98,4.8568929152,smoothed
l.crin.s,-0.99,4.8324922983,smoothed
l.crin.s,-1.0,4.807931406,smoothed
l.crin.s,-1.01,4.7832139353,smoothed
l.crin.s,-1.02,4.7583435921,smoothed
l.crin.s,-1.03,4.7333240896,smoothed
l.crin.s,-1.04,4.7081591482,smoothed
l.crin.s,-1.05,4.6828524941,smoothed
l.crin.s,-1.06,4.6574078585,smoothed
l.crin.s,-1.07,4.6318289768,smoothed
l.crin.s,-1.08,4.6061195876,smoothed
l.crin.s,-1.09,4.5802834317,smoothed
l.crin.s,-1.1,4.5543242516,smoothed
l.crin.s,-1.11,4.5282457901,smoothed
l.crin.s,-1.12,4.5020517899,smoothed
l.crin.s,-1.13,4.4757459921,smoothed
l.crin.s,-1.14,4.4493321362,smoothed
l.crin.s,-1.15,4.4228139585,smoothed
l.crin.s,-1.16,4.3961951914,smoothed
l.crin.s,-1.17,4.3694795629,smoothed
l.crin.s,-1.18,4.3426707954,smoothed
l.crin.s,-1.19,4.3157726049,smoothed
l.crin.s,-1.2,4.2887887003,smoothed
l.crin.s,-1.21,4.2617227823,smoothed
l.crin.s,-1.22,4.2345785431,smoothed
l.crin.s,-1.23,4.2073596651,smoothed
l.crin.s,-1.24,4.1800698203,smoothed
l.crin.s,-1.25,4.1527126693,smoothed
l.crin.s,-1.26,4.125291861,smoothed
l.crin.s,-1.27,4.0978110314,smoothed
l.crin.s,-1.28,4.0702738027,smoothed
l.crin.s,-1.29,4.0426837831,smoothed
l.crin.s,-1.3,4.0150445657,smoothed
l.crin.s,-1.31,3.9873597275,smoothed
l.crin.s,-1.32,3.9596328294,smoothed
l.crin.s,-1.33,3.9318674147,smoothed
l.crin.s,-1.34,3.9040670089,smoothed
l.crin.s,-1.35,3.8762351187,smoothed
l.crin.s,-1.36,3.8483752315,smoothed
l.crin.s,-1.37,3.8204908148,smoothed
l.crin.s,-1.38,3.7925853152,smoothed
l.crin.s,-1.39,3.764662158,smoothed
l.crin.s,-1.4,3.7367247466,smoothed
l.crin.s,-1.41,3.7087764614,smoothed
l.crin.s,-1.42,3.68082066,smoothed
l.crin.s,-1.43,3.6528606757,smoothed
l.crin.s,-1.44,3.6248998176,smoothed
l.crin.s,-1.45,3.5969413696,smoothed
l.crin.s,-1.46,3.5689885899,smoothed
l.crin.s,-1.47,3.5410447106,smoothed
l.crin.s,-1.48,3.5131129369,smoothed
l.crin.s,-1.49,3.4851964468,smoothed
l.crin.s,-1.5,3.4572983903,smoothed
l.crin.s,-1.51,3.4294218892,smoothed
l.crin.s,-1.52,3.4015700364,smoothed
l.crin.s,-1.53,3.3737458954,smoothed
l.crin.s,-1.54,3.3459524997,smoothed
l.crin.s,-1.55,3.3181928529,smoothed
l.crin.s,-1.56,3.2904699274,smoothed
l.crin.s,-1.57,3.2627866647,smoothed
l.crin.s,-1.58,3.2351459744,smoothed
l.crin.s,-1.59,3.2075507345,smoothed
l.crin.s,-1.6,3.18000379,smoothed
l.crin.s,-1.61,3.1525079535,smoothed
l.crin.s,-1.62,3.1250660041,smoothed
l.crin.s,-1.63,3.0976806874,smoothed
l.crin.s,-1.64,3.0703547153,smoothed
l.crin.s,-1.65,3.043090765,smoothed
l.crin.s,-1.66,3.0158914795,smoothed
l.crin.s,-1.67,2.9887594666,smoothed
l.crin.s,-1.68,2.9616972992,smoothed
l.crin.s,-1.69,2.9347075143,smoothed
l.crin.s,-1.7,2.9077926136,smoothed
l.crin.s,-1.71,2.8809550624,smoothed
l.crin.s,-1.72,2.8541972899,smoothed
