species,matric_pot,hyphal_rate,type
m.trem.n,-0.0,0.1233553598,smoothed
m.trem.n,-0.01,0.2056664037,smoothed
m.trem.n,-0.02,0.3308585002,smoothed
m.trem.n,-0.03,0.5138090597,smoothed
m.trem.n,-0.04,0.7706873958,smoothed
m.trem.n,-0.05,1.1172299646,smoothed
m.trem.n,-0.06,1.5664084641,smoothed
m.trem.n,-0.07,2.1257945428,smoothed
m.trem.n,-0.08,2.7951095475,smoothed
m.trem.n,-0.09,3.5645408575,smoothed
m.trem.n,-0.1,4.414349544,smoothed
m.trem.n,-0.11,5.316070775,smoothed
m.trem.n,-0.12,6.2352605145,smoothed
m.trem.n,-0.13,7.135364182,smoothed
m.trem.n,-0.14,7.9819919569,smoothed
m.trem.n,-0.15,8.7467771282,smoothed
m.trem.n,-0.16,9.4101049029,smoothed
m.trem.n,-0.17,9.9622918751,smoothed
m.trem.n,-0.18,10.4031745956,smoothed
m.trem.n,-0.19,10.7404124627,smoothed
m.trem.n,-0.2,10.9870314794,smoothed
m.trem.n,-0.21,11.1587900867,smoothed
m.trem.n,-0.22,11.2718535649,smoothed
m.trem.n,-0.23,11.341078107,smoothed
m.trem.n,-0.24,11.3790012027,smoothed
m.trem.n,-0.25,11.3954694306,smoothed
m.trem.n,-0.26,11.3977379609,smoothed
m.trem.n,-0.27,11.3908489574,smoothed
m.trem.n,-0.28,11.3781201067,smoothed
m.trem.n,-0.29,11.3616242084,smoothed
m.trem.n,-0.3,11.3425939596,smoothed
m.trem.n,-0.31,11.3217289448,smoothed
m.trem.n,-0.32,11.2994093466,smoothed
m.trem.n,-0.33,11.2758341681,smoothed
m.trem.n,-0.34,11.2511049251,smoothed
m.trem.n,-0.35,11.2252733296,smoothed
m.trem.n,-0.36,11.1983669478,smoothed
m.trem.n,-0.37,11.1704022744,smoothed
m.trem.n,-0.38,11.1413910537,smoothed
m.trem.n,-0.39,11.1113431834,smoothed
m.trem.n,-0.4,11.0802679837,smoothed
m.trem.n,-0.41,11.0481747226,smoothed
m.trem.n,-0.42,11.0150728237,smoothed
m.trem.n,-0.43,10.9809719408,smoothed
m.trem.n,-0.44,10.9458819828,smoothed
m.trem.n,-0.45,10.9098131188,smoothed
m.trem.n,-0.46,10.8727757768,smoothed
