species,matric_pot,hyphal_rate,type
p.har.n,-0.0,1.63686636011783e-06,smoothed
p.har.n,-0.01,2.87618847783388e-06,smoothed
p.har.n,-0.02,4.99029040399591e-06,smoothed
p.har.n,-0.03,8.54962753851913e-06,smoothed
p.har.n,-0.04,1.44640697879118e-05,smoothed
p.har.n,-0.05,2.41638057721756e-05,smoothed
p.har.n,-0.06,3.98640879635948e-05,smoothed
p.har.n,-0.07,6.49457554772063e-05,smoothed
p.har.n,-0.08,0.0001044921,smoothed
p.har.n,-0.09,0.0001660323,smoothed
p.har.n,-0.1,0.0002605496,smoothed
p.har.n,-0.11,0.000403823,smoothed
p.har.n,-0.12,0.0006181718,smoothed
p.har.n,-0.13,0.0009346748,smoothed
p.har.n,-0.14,0.0013959239,smoothed
p.har.n,-0.15,0.0020593527,smoothed
p.har.n,-0.16,0.0030011427,smoothed
p.har.n,-0.17,0.0043206591,smoothed
p.har.n,-0.18,0.006145295,smoothed
p.har.n,-0.19,0.0086355185,smoothed
p.har.n,-0.2,0.0119898113,smoothed
p.har.n,-0.21,0.0164490835,smoothed
p.har.n,-0.22,0.0223000446,smoothed
p.har.n,-0.23,0.0298769247,smoothed
p.har.n,-0.24,0.0395608934,smoothed
p.har.n,-0.25,0.0517765216,smoothed
p.har.n,-0.26,0.0669847061,smoothed
p.har.n,-0.27,0.0856716244,smoothed
p.har.n,-0.28,0.1083335232,smoothed
p.har.n,-0.29,0.1354574555,smoothed
p.har.n,-0.3,0.1674984592,smoothed
p.har.n,-0.31,0.2048540759,smoothed
p.har.n,-0.32,0.247837511,smoothed
p.har.n,-0.33,0.2966510883,smoothed
p.har.n,-0.34,0.3513618947,smoothed
p.har.n,-0.35,0.4118816177,smoothed
p.har.n,-0.36,0.4779524987,smoothed
p.har.n,-0.37,0.5491410537,smoothed
p.har.n,-0.38,0.6248407556,smoothed
p.har.n,-0.39,0.7042842521,smoothed
p.har.n,-0.4,0.7865649724,smoothed
p.har.n,-0.41,0.8706672117,smoothed
p.har.n,-0.42,0.9555030683,smoothed
p.har.n,-0.43,1.0399540025,smoothed
p.har.n,-0.44,1.1229143798,smoothed
p.har.n,-0.45,1.2033341778,smoothed
p.har.n,-0.46,1.2802581138,smoothed
p.har.n,-0.47,1.3528587694,smoothed
p.har.n,-0.48,1.4204618223,smoothed
p.har.n,-0.49,1.4825621701,smoothed
p.har.n,-0.5,1.5388304875,smoothed
p.har.n,-0.51,1.5891105048,smoothed
p.har.n,-0.52,1.6334079649,smoothed
p.har.n,-0.53,1.6718727429,smoothed
p.har.n,-0.54,1.7047759669,smoothed
p.har.n,-0.55,1.7324841298,smoothed
p.har.n,-0.56,1.7554321537,smoothed
p.har.n,-0.57,1.7740971734,smoothed
p.har.n,-0.58,1.788974493,smoothed
p.har.n,-0.59,1.8005567837,smoothed
p.har.n,-0.6,1.8093171788,smoothed
p.har.n,-0.61,1.8156965295,smoothed
p.har.n,-0.62,1.8200947448,smoothed
p.har.n,-0.63,1.8228658684,smoothed
p.har.n,-0.64,1.8243163625,smoothed
p.har.n,-0.65,1.8247059669,smoothed
p.har.n,-0.66,1.8242504709,smoothed
