species,temp_c,hyphal_rate,type
p.sang.s,-5.0,0.1219135874981517,smoothed
p.sang.s,-4.99,0.1221710751735475,smoothed
p.sang.s,-4.98,0.122429050903147,smoothed
p.sang.s,-4.97,0.1226875154822311,smoothed
p.sang.s,-4.96,0.1229464697070925,smoothed
p.sang.s,-4.95,0.1232059143750339,smoothed
p.sang.s,-4.94,0.1234658502843696,smoothed
p.sang.s,-4.93,0.1237262782344269,smoothed
p.sang.s,-4.92,0.1239871990255458,smoothed
p.sang.s,-4.91,0.1242486134590799,smoothed
p.sang.s,-4.9,0.1245105223373979,smoothed
p.sang.s,-4.89,0.1247729264638825,smoothed
p.sang.s,-4.88,0.1250358266429328,smoothed
p.sang.s,-4.87,0.1252992236799643,smoothed
p.sang.s,-4.86,0.1255631183814097,smoothed
p.sang.s,-4.85,0.125827511554719,smoothed
p.sang.s,-4.84,0.1260924040083614,smoothed
p.sang.s,-4.83,0.1263577965518244,smoothed
p.sang.s,-4.82,0.1266236899956158,smoothed
p.sang.s,-4.81,0.1268900851512636,smoothed
p.sang.s,-4.8,0.1271569828313173,smoothed
p.sang.s,-4.79,0.1274243838493474,smoothed
p.sang.s,-4.78,0.1276922890199477,smoothed
p.sang.s,-4.77,0.1279606991587349,smoothed
p.sang.s,-4.76,0.128229615082349,smoothed
p.sang.s,-4.75,0.128499037608455,smoothed
p.sang.s,-4.74,0.1287689675557425,smoothed
p.sang.s,-4.73,0.1290394057439276,smoothed
p.sang.s,-4.72,0.1293103529937519,smoothed
p.sang.s,-4.71,0.1295818101269845,smoothed
p.sang.s,-4.7,0.1298537779664225,smoothed
p.sang.s,-4.69,0.1301262573358916,smoothed
p.sang.s,-4.68,0.1303992490602453,smoothed
p.sang.s,-4.67,0.1306727539653679,smoothed
p.sang.s,-4.66,0.1309467728781735,smoothed
p.sang.s,-4.65,0.1312213066266083,smoothed
p.sang.s,-4.64,0.1314963560396485,smoothed
p.sang.s,-4.63,0.1317719219473035,smoothed
p.sang.s,-4.62,0.1320480051806161,smoothed
p.sang.s,-4.61,0.1323246065716619,smoothed
p.sang.s,-4.6,0.132601726953551,smoothed
p.sang.s,-4.59,0.1328793671604287,smoothed
p.sang.s,-4.58,0.1331575280274753,smoothed
p.sang.s,-4.57,0.1334362103909078,smoothed
p.sang.s,-4.56,0.13371541508798,smoothed
p.sang.s,-4.55,0.1339951429569828,smoothed
p.sang.s,-4.54,0.1342753948372453,smoothed
p.sang.s,-4.53,0.1345561715691359,smoothed
p.sang.s,-4.52,0.1348374739940621,smoothed
p.sang.s,-4.51,0.1351193029544708,smoothed
p.sang.s,-4.5,0.1354016592938505,smoothed
p.sang.s,-4.49,0.1356845438567309,smoothed
p.sang.s,-4.48,0.135967957488683,smoothed
p.sang.s,-4.47,0.1362519010363209,smoothed
p.sang.s,-4.46,0.1365363753473017,smoothed
p.sang.s,-4.45,0.1368213812703267,smoothed
p.sang.s,-4.4399999999999995,0.1371069196551416,smoothed
p.sang.s,-4.43,0.1373929913525368,smoothed
p.sang.s,-4.42,0.1376795972143485,smoothed
