species,matric_pot,hyphal_rate,type
f.fom.n,-0.0,0.1140252858,smoothed
f.fom.n,-0.01,0.1797141391,smoothed
f.fom.n,-0.02,0.2735123287,smoothed
f.fom.n,-0.03,0.4021989239,smoothed
f.fom.n,-0.04,0.5718303831,smoothed
f.fom.n,-0.05,0.7866684144,smoothed
f.fom.n,-0.06,1.0480915666,smoothed
f.fom.n,-0.07,1.3537244108,smoothed
f.fom.n,-0.08,1.6970229209,smoothed
f.fom.n,-0.09,2.0674897634,smoothed
f.fom.n,-0.1,2.4515656236,smoothed
f.fom.n,-0.11,2.8340837743,smoothed
f.fom.n,-0.12,3.2000319495,smoothed
f.fom.n,-0.13,3.5362843834,smoothed
f.fom.n,-0.14,3.8329748417,smoothed
f.fom.n,-0.15,4.0842759149,smoothed
f.fom.n,-0.16,4.2884992182,smoothed
f.fom.n,-0.17,4.4475877952,smoothed
f.fom.n,-0.18,4.5661904878,smoothed
f.fom.n,-0.19,4.6505608163,smoothed
f.fom.n,-0.2,4.7075073236,smoothed
f.fom.n,-0.21,4.7435569934,smoothed
f.fom.n,-0.22,4.7644075127,smoothed
f.fom.n,-0.23,4.7746656163,smoothed
f.fom.n,-0.24,4.7778153577,smoothed
f.fom.n,-0.25,4.7763370818,smoothed
f.fom.n,-0.26,4.7719001803,smoothed
f.fom.n,-0.27,4.7655702992,smoothed
f.fom.n,-0.28,4.757994287,smoothed
f.fom.n,-0.29,4.7495464174,smoothed
f.fom.n,-0.3,4.7404337241,smoothed
f.fom.n,-0.31,4.7307661933,smoothed
f.fom.n,-0.32,4.7206004282,smoothed
f.fom.n,-0.33,4.7099651589,smoothed
f.fom.n,-0.34,4.6988752988,smoothed
f.fom.n,-0.35,4.6873392705,smoothed
f.fom.n,-0.36,4.6753626266,smoothed
f.fom.n,-0.37,4.6629497492,smoothed
f.fom.n,-0.38,4.6501046076,smoothed
f.fom.n,-0.39,4.6368310803,smoothed
f.fom.n,-0.4,4.623133084,smoothed
f.fom.n,-0.41,4.6090146226,smoothed
f.fom.n,-0.42,4.5944798042,smoothed
f.fom.n,-0.43,4.5795328454,smoothed
f.fom.n,-0.44,4.5641780719,smoothed
f.fom.n,-0.45,4.5484199169,smoothed
f.fom.n,-0.46,4.5322629191,smoothed
f.fom.n,-0.47,4.5157117208,smoothed
f.fom.n,-0.48,4.4987710655,smoothed
f.fom.n,-0.49,4.481445796,smoothed
f.fom.n,-0.5,4.4637408517,smoothed
f.fom.n,-0.51,4.4456612662,smoothed
f.fom.n,-0.52,4.4272121656,smoothed
f.fom.n,-0.53,4.4083987652,smoothed
f.fom.n,-0.54,4.3892263676,smoothed
f.fom.n,-0.55,4.36970036,smoothed
f.fom.n,-0.56,4.3498262119,smoothed
f.fom.n,-0.57,4.3296094722,smoothed
f.fom.n,-0.58,4.309055767,smoothed
f.fom.n,-0.59,4.2881707967,smoothed
f.fom.n,-0.6,4.2669603335,smoothed
f.fom.n,-0.61,4.2454302188,smoothed
f.fom.n,-0.62,4.2235863605,smoothed
f.fom.n,-0.63,4.20143473,smoothed
f.fom.n,-0.64,4.1789813602,smoothed
f.fom.n,-0.65,4.156232342,smoothed
f.fom.n,-0.66,4.133193822,smoothed
f.fom.n,-0.67,4.1098719997,smoothed
f.fom.n,-0.68,4.0862731245,smoothed
f.fom.n,-0.69,4.0624034934,smoothed
f.fom.n,-0.7,4.0382694477,smoothed
f.fom.n,-0.71,4.0138773704,smoothed
