species,matric_pot,hyphal_rate,type
h.crust.n,-0.0,0.0923093813,smoothed
h.crust.n,-0.01,0.1376820427,smoothed
h.crust.n,-0.02,0.1984927001,smoothed
h.crust.n,-0.03,0.2767992313,smoothed
h.crust.n,-0.04,0.3736818829,smoothed
h.crust.n,-0.05,0.4888465991,smoothed
h.crust.n,-0.06,0.6203727418,smoothed
h.crust.n,-0.07,0.7646889307,smoothed
h.crust.n,-0.08,0.9168191,smoothed
h.crust.n,-0.09,1.0708804386,smoothed
h.crust.n,-0.1,1.2207525437,smoothed
h.crust.n,-0.11,1.3607924336,smoothed
h.crust.n,-0.12,1.4864578326,smoothed
h.crust.n,-0.13,1.5947255027,smoothed
h.crust.n,-0.14,1.6842441392,smoothed
h.crust.n,-0.15,1.7552252454,smoothed
h.crust.n,-0.16,1.8091310055,smoothed
h.crust.n,-0.17,1.8482509182,smoothed
h.crust.n,-0.18,1.8752635856,smoothed
h.crust.n,-0.19,1.8928608831,smoothed
h.crust.n,-0.2,1.903479309,smoothed
h.crust.n,-0.21,1.9091495325,smoothed
h.crust.n,-0.22,1.9114490771,smoothed
h.crust.n,-0.23,1.9115288596,smoothed
h.crust.n,-0.24,1.910181426,smoothed
h.crust.n,-0.25,1.9079237645,smoothed
h.crust.n,-0.26,1.9050762236,smoothed
h.crust.n,-0.27,1.9018278265,smoothed
h.crust.n,-0.28,1.89828506,smoothed
h.crust.n,-0.29,1.8945054103,smoothed
h.crust.n,-0.3,1.8905188104,smoothed
h.crust.n,-0.31,1.8863404935,smoothed
h.crust.n,-0.32,1.8819782467,smoothed
h.crust.n,-0.33,1.8774362785,smoothed
h.crust.n,-0.34,1.8727171727,smoothed
h.crust.n,-0.35,1.8678228249,smoothed
h.crust.n,-0.36,1.8627548693,smoothed
h.crust.n,-0.37,1.8575148636,smoothed
h.crust.n,-0.38,1.852104365,smoothed
h.crust.n,-0.39,1.8465249598,smoothed
h.crust.n,-0.4,1.8407782739,smoothed
h.crust.n,-0.41,1.8348659765,smoothed
h.crust.n,-0.42,1.8287897803,smoothed
h.crust.n,-0.43,1.8225514412,smoothed
h.crust.n,-0.44,1.8161527579,smoothed
h.crust.n,-0.45,1.8095955707,smoothed
h.crust.n,-0.46,1.8028817609,smoothed
h.crust.n,-0.47,1.7960132498,smoothed
h.crust.n,-0.48,1.7889919979,smoothed
h.crust.n,-0.49,1.7818200035,smoothed
h.crust.n,-0.5,1.7744993026,smoothed
h.crust.n,-0.51,1.7670319672,smoothed
h.crust.n,-0.52,1.7594201045,smoothed
h.crust.n,-0.53,1.7516658562,smoothed
h.crust.n,-0.54,1.7437713971,smoothed
h.crust.n,-0.55,1.7357389344,smoothed
h.crust.n,-0.56,1.7275707066,smoothed
h.crust.n,-0.57,1.7192689821,smoothed
h.crust.n,-0.58,1.7108360589,smoothed
h.crust.n,-0.59,1.7022742628,smoothed
h.crust.n,-0.6,1.6935859468,smoothed
h.crust.n,-0.61,1.6847734896,smoothed
h.crust.n,-0.62,1.6758392952,smoothed
h.crust.n,-0.63,1.666785791,smoothed
h.crust.n,-0.64,1.6576154274,smoothed
h.crust.n,-0.65,1.6483306762,smoothed
h.crust.n,-0.66,1.6389340298,smoothed
h.crust.n,-0.67,1.6294279999,smoothed
h.crust.n,-0.68,1.6198151167,smoothed
h.crust.n,-0.69,1.6100979272,smoothed
h.crust.n,-0.7,1.6002789948,smoothed
h.crust.n,-0.71,1.5903608976,smoothed
h.crust.n,-0.72,1.5803462275,smoothed
h.crust.n,-0.73,1.5702375892,smoothed
h.crust.n,-0.74,1.560037599,smoothed
h.crust.n,-0.75,1.5497488836,smoothed
h.crust.n,-0.76,1.5393740788,smoothed
h.crust.n,-0.77,1.5289158291,smoothed
h.crust.n,-0.78,1.5183767856,smoothed
h.crust.n,-0.79,1.5077596059,smoothed
h.crust.n,-0.8,1.4970669521,smoothed
h.crust.n,-0.81,1.4863014904,smoothed
h.crust.n,-0.82,1.4754658895,smoothed
h.crust.n,-0.83,1.4645628199,smoothed
h.crust.n,-0.84,1.4535949526,smoothed
h.crust.n,-0.85,1.4425649582,smoothed
h.crust.n,-0.86,1.4314755055,smoothed
h.crust.n,-0.87,1.4203292609,smoothed
h.crust.n,-0.88,1.4091288871,smoothed
h.crust.n,-0.89,1.397877042,smoothed
h.crust.n,-0.9,1.386576378,smoothed
h.crust.n,-0.91,1.3752295405,smoothed
h.crust.n,-0.92,1.3638391674,smoothed
h.crust.n,-0.93,1.3524078878,smoothed
h.crust.n,-0.94,1.3409383212,smoothed
h.crust.n,-0.95,1.3294330762,smoothed
h.crust.n,-0.96,1.3178947502,smoothed
h.crust.n,-0.97,1.3063259276,smoothed
h.crust.n,-0.98,1.2947291798,smoothed
h.crust.n,-0.99,1.2831070636,smoothed
h.crust.n,-1.0,1.2714621206,smoothed
h.crust.n,-1.01,1.2597968762,smoothed
h.crust.n,-1.02,1.2481138389,smoothed
h.crust.n,-1.03,1.2364154995,smoothed
h.crust.n,-1.04,1.2247043298,smoothed
h.crust.n,-1.05,1.2129827825,smoothed
h.crust.n,-1.06,1.2012532899,smoothed
h.crust.n,-1.07,1.1895182632,smoothed
h.crust.n,-1.08,1.1777800919,smoothed
h.crust.n,-1.09,1.1660411429,smoothed
h.crust.n,-1.1,1.1543037601,smoothed
h.crust.n,-1.11,1.1425702632,smoothed
h.crust.n,-1.12,1.1308429473,smoothed
h.crust.n,-1.13,1.1191240823,smoothed
h.crust.n,-1.14,1.1074159122,smoothed
h.crust.n,-1.15,1.0957206543,smoothed
h.crust.n,-1.16,1.0840404988,smoothed
h.crust.n,-1.17,1.0723776082,smoothed
h.crust.n,-1.18,1.0607341168,smoothed
h.crust.n,-1.19,1.0491121297,smoothed
h.crust.n,-1.2,1.0375137229,smoothed
h.crust.n,-1.21,1.0259409426,smoothed
h.crust.n,-1.22,1.0143958043,smoothed
h.crust.n,-1.23,1.0028802929,smoothed
h.crust.n,-1.24,0.9913963621,smoothed
h.crust.n,-1.25,0.9799459336,smoothed
h.crust.n,-1.26,0.9685308974,smoothed
h.crust.n,-1.27,0.9571531107,smoothed
h.crust.n,-1.28,0.945814398,smoothed
h.crust.n,-1.29,0.9345165507,smoothed
h.crust.n,-1.3,0.9232613266,smoothed
h.crust.n,-1.31,0.9120504496,smoothed
h.crust.n,-1.32,0.9008856098,smoothed
h.crust.n,-1.33,0.8897684627,smoothed
h.crust.n,-1.34,0.8787006295,smoothed
h.crust.n,-1.35,0.8676836964,smoothed
h.crust.n,-1.36,0.8567192147,smoothed
h.crust.n,-1.37,0.8458087006,smoothed
h.crust.n,-1.38,0.8349536347,smoothed
h.crust.n,-1.39,0.8241554626,smoothed
h.crust.n,-1.4,0.813415594,smoothed
h.crust.n,-1.41,0.8027354029,smoothed
h.crust.n,-1.42,0.7921162277,smoothed
h.crust.n,-1.43,0.7815593709,smoothed
h.crust.n,-1.44,0.7710660993,smoothed
h.crust.n,-1.45,0.7606376434,smoothed
h.crust.n,-1.46,0.7502751983,smoothed
h.crust.n,-1.47,0.7399799229,smoothed
h.crust.n,-1.48,0.7297529403,smoothed
h.crust.n,-1.49,0.7195953378,smoothed
h.crust.n,-1.5,0.709508167,smoothed
h.crust.n,-1.51,0.6994924438,smoothed
h.crust.n,-1.52,0.6895491485,smoothed
h.crust.n,-1.53,0.6796792259,smoothed
h.crust.n,-1.54,0.6698835857,smoothed
h.crust.n,-1.55,0.6601631021,smoothed
h.crust.n,-1.56,0.6505186145,smoothed
h.crust.n,-1.57,0.6409509273,smoothed
h.crust.n,-1.58,0.6314608103,smoothed
h.crust.n,-1.59,0.6220489989,smoothed
h.crust.n,-1.6,0.6127161942,smoothed
h.crust.n,-1.61,0.6034630633,smoothed
h.crust.n,-1.62,0.5942902396,smoothed
h.crust.n,-1.63,0.5851983228,smoothed
h.crust.n,-1.64,0.5761878796,smoothed
h.crust.n,-1.65,0.5672594437,smoothed
h.crust.n,-1.66,0.558413516,smoothed
h.crust.n,-1.67,0.5496505652,smoothed
h.crust.n,-1.68,0.5409710279,smoothed
h.crust.n,-1.69,0.5323753091,smoothed
h.crust.n,-1.7,0.5238637823,smoothed
h.crust.n,-1.71,0.5154367902,smoothed
h.crust.n,-1.72,0.5070946445,smoothed
h.crust.n,-1.73,0.498837627,smoothed
h.crust.n,-1.74,0.4906659894,smoothed
h.crust.n,-1.75,0.4825799539,smoothed
h.crust.n,-1.76,0.4745797136,smoothed
h.crust.n,-1.77,0.4666654329,smoothed
h.crust.n,-1.78,0.4588372479,smoothed
h.crust.n,-1.79,0.4510952668,smoothed
h.crust.n,-1.8,0.4434395702,smoothed
h.crust.n,-1.81,0.4358702121,smoothed
h.crust.n,-1.82,0.4283872193,smoothed
h.crust.n,-1.83,0.4209905929,smoothed
h.crust.n,-1.84,0.4136803082,smoothed
h.crust.n,-1.85,0.4064563151,smoothed
h.crust.n,-1.86,0.399318539,smoothed
h.crust.n,-1.87,0.3922668806,smoothed
h.crust.n,-1.88,0.385301217,smoothed
h.crust.n,-1.89,0.3784214019,smoothed
h.crust.n,-1.9,0.371627266,smoothed
h.crust.n,-1.91,0.3649186175,smoothed
h.crust.n,-1.92,0.3582952429,smoothed
h.crust.n,-1.93,0.3517569069,smoothed
h.crust.n,-1.94,0.3453033534,smoothed
h.crust.n,-1.95,0.3389343057,smoothed
h.crust.n,-1.96,0.3326494672,smoothed
h.crust.n,-1.97,0.3264485216,smoothed
h.crust.n,-1.98,0.3203311335,smoothed
h.crust.n,-1.99,0.3142969493,smoothed
h.crust.n,-2.0,0.3083455969,smoothed
h.crust.n,-2.01,0.3024766868,smoothed
h.crust.n,-2.02,0.2966898124,smoothed
h.crust.n,-2.03,0.2909845504,smoothed
h.crust.n,-2.04,0.2853604616,smoothed
h.crust.n,-2.05,0.2798170909,smoothed
h.crust.n,-2.06,0.2743539682,smoothed
h.crust.n,-2.07,0.2689706085,smoothed
h.crust.n,-2.08,0.2636665129,smoothed
h.crust.n,-2.09,0.2584411685,smoothed
h.crust.n,-2.1,0.2532940494,smoothed
h.crust.n,-2.11,0.2482246167,smoothed
h.crust.n,-2.12,0.2432323193,smoothed
h.crust.n,-2.13,0.2383165942,smoothed
h.crust.n,-2.14,0.233476867,smoothed
h.crust.n,-2.15,0.2287125525,smoothed
h.crust.n,-2.16,0.2240230549,smoothed
h.crust.n,-2.17,0.2194077684,smoothed
h.crust.n,-2.18,0.2148660775,smoothed
h.crust.n,-2.19,0.2103973578,smoothed
h.crust.n,-2.2,0.2060009761,smoothed
h.crust.n,-2.21,0.2016762909,smoothed
h.crust.n,-2.22,0.1974226527,smoothed
h.crust.n,-2.23,0.1932394049,smoothed
h.crust.n,-2.24,0.1891258837,smoothed
h.crust.n,-2.25,0.1850814186,smoothed
h.crust.n,-2.26,0.1811053331,smoothed
h.crust.n,-2.27,0.1771969449,smoothed
h.crust.n,-2.28,0.1733555663,smoothed
h.crust.n,-2.29,0.1695805043,smoothed
h.crust.n,-2.3,0.1658710618,smoothed
h.crust.n,-2.31,0.1622265369,smoothed
h.crust.n,-2.32,0.1586462243,smoothed
h.crust.n,-2.33,0.1551294148,smoothed
h.crust.n,-2.34,0.1516753964,smoothed
h.crust.n,-2.35,0.148283454,smoothed
h.crust.n,-2.36,0.1449528701,smoothed
h.crust.n,-2.37,0.1416829252,smoothed
h.crust.n,-2.38,0.138472898,smoothed
h.crust.n,-2.39,0.1353220656,smoothed
h.crust.n,-2.4,0.1322297041,smoothed
h.crust.n,-2.41,0.1291950887,smoothed
h.crust.n,-2.42,0.126217494,smoothed
h.crust.n,-2.43,0.1232961945,smoothed
h.crust.n,-2.44,0.1204304647,smoothed
h.crust.n,-2.45,0.1176195796,smoothed
h.crust.n,-2.46,0.1148628145,smoothed
h.crust.n,-2.47,0.1121594459,smoothed
h.crust.n,-2.48,0.1095087514,smoothed
h.crust.n,-2.49,0.1069100099,smoothed
h.crust.n,-2.5,0.1043625021,smoothed
h.crust.n,-2.51,0.1018655106,smoothed
h.crust.n,-2.52,0.0994183202,smoothed
h.crust.n,-2.53,0.0970202179,smoothed
h.crust.n,-2.54,0.0946704935,smoothed
h.crust.n,-2.55,0.0923684396,smoothed
h.crust.n,-2.56,0.0901133517,smoothed
h.crust.n,-2.57,0.0879045288,smoothed
h.crust.n,-2.58,0.0857412732,smoothed
h.crust.n,-2.59,0.0836228907,smoothed
h.crust.n,-2.6,0.0815486911,smoothed
h.crust.n,-2.61,0.0795179882,smoothed
h.crust.n,-2.62,0.0775300999,smoothed
h.crust.n,-2.63,0.0755843485,smoothed
h.crust.n,-2.64,0.0736800607,smoothed
h.crust.n,-2.65,0.0718165679,smoothed
h.crust.n,-2.66,0.0699932063,smoothed
h.crust.n,-2.67,0.068209317,smoothed
