species,temp_c,hyphal_rate,type
m.trem.n,-5.0,0.3306155154038412,smoothed
m.trem.n,-4.99,0.3312331093948514,smoothed
m.trem.n,-4.98,0.3318516986462076,smoothed
m.trem.n,-4.97,0.3324712844254632,smoothed
m.trem.n,-4.96,0.3330918680011054,smoothed
m.trem.n,-4.95,0.3337134506425618,smoothed
m.trem.n,-4.94,0.3343360336201981,smoothed
m.trem.n,-4.93,0.3349596182053128,smoothed
m.trem.n,-4.92,0.3355842056701437,smoothed
m.trem.n,-4.91,0.3362097972878626,smoothed
m.trem.n,-4.9,0.3368363943325743,smoothed
m.trem.n,-4.89,0.3374639980793185,smoothed
m.trem.n,-4.88,0.3380926098040681,smoothed
m.trem.n,-4.87,0.3387222307837283,smoothed
m.trem.n,-4.86,0.3393528622961348,smoothed
m.trem.n,-4.85,0.3399845056200543,smoothed
m.trem.n,-4.84,0.3406171620351852,smoothed
m.trem.n,-4.83,0.3412508328221544,smoothed
m.trem.n,-4.82,0.3418855192625159,smoothed
m.trem.n,-4.81,0.3425212226387544,smoothed
m.trem.n,-4.8,0.3431579442342812,smoothed
m.trem.n,-4.79,0.3437956853334318,smoothed
m.trem.n,-4.78,0.3444344472214707,smoothed
m.trem.n,-4.77,0.3450742311845863,smoothed
m.trem.n,-4.76,0.3457150385098899,smoothed
m.trem.n,-4.75,0.3463568704854189,smoothed
m.trem.n,-4.74,0.3469997284001317,smoothed
m.trem.n,-4.73,0.3476436135439087,smoothed
m.trem.n,-4.72,0.3482885272075542,smoothed
m.trem.n,-4.71,0.3489344706827894,smoothed
m.trem.n,-4.7,0.3495814452622582,smoothed
m.trem.n,-4.69,0.3502294522395217,smoothed
m.trem.n,-4.68,0.3508784929090607,smoothed
m.trem.n,-4.67,0.3515285685662722,smoothed
m.trem.n,-4.66,0.3521796805074713,smoothed
m.trem.n,-4.65,0.3528318300298884,smoothed
m.trem.n,-4.64,0.3534850184316687,smoothed
m.trem.n,-4.63,0.354139247011872,smoothed
m.trem.n,-4.62,0.3547945170704727,smoothed
m.trem.n,-4.61,0.3554508299083567,smoothed
m.trem.n,-4.6,0.356108186827322,smoothed
m.trem.n,-4.59,0.3567665891300789,smoothed
m.trem.n,-4.58,0.3574260381202477,smoothed
m.trem.n,-4.57,0.3580865351023571,smoothed
m.trem.n,-4.56,0.3587480813818453,smoothed
m.trem.n,-4.55,0.3594106782650605,smoothed
m.trem.n,-4.54,0.3600743270592547,smoothed
m.trem.n,-4.53,0.3607390290725877,smoothed
m.trem.n,-4.52,0.3614047856141263,smoothed
m.trem.n,-4.51,0.3620715979938392,smoothed
m.trem.n,-4.5,0.3627394675226001,smoothed
m.trem.n,-4.49,0.3634083955121874,smoothed
m.trem.n,-4.48,0.3640783832752788,smoothed
m.trem.n,-4.47,0.3647494321254554,smoothed
m.trem.n,-4.46,0.3654215433771978,smoothed
m.trem.n,-4.45,0.3660947183458867,smoothed
m.trem.n,-4.4399999999999995,0.3667689583478014,smoothed
m.trem.n,-4.43,0.3674442647001176,smoothed
m.trem.n,-4.42,0.3681206387209115,smoothed
m.trem.n,-4.41,0.3687980817291528,smoothed
