species,temp_c,hyphal_rate,type
p.har.n,-5.0,0.0209642668532056,smoothed
p.har.n,-4.99,0.0210294299466647,smoothed
p.har.n,-4.98,0.021094772660917,smoothed
p.har.n,-4.97,0.0211602954109967,smoothed
p.har.n,-4.96,0.0212259986126296,smoothed
p.har.n,-4.95,0.0212918826822335,smoothed
p.har.n,-4.94,0.0213579480369184,smoothed
p.har.n,-4.93,0.0214241950944869,smoothed
p.har.n,-4.92,0.0214906242734342,smoothed
p.har.n,-4.91,0.0215572359929484,smoothed
p.har.n,-4.9,0.0216240306729112,smoothed
p.har.n,-4.89,0.0216910087338975,smoothed
p.har.n,-4.88,0.021758170597176,smoothed
p.har.n,-4.87,0.0218255166847095,smoothed
p.har.n,-4.86,0.0218930474191549,smoothed
p.har.n,-4.85,0.0219607632238635,smoothed
p.har.n,-4.84,0.0220286645228813,smoothed
p.har.n,-4.83,0.0220967517409494,smoothed
p.har.n,-4.82,0.0221650253035039,smoothed
p.har.n,-4.81,0.0222334856366761,smoothed
p.har.n,-4.8,0.022302133167293,smoothed
p.har.n,-4.79,0.0223709683228775,smoothed
p.har.n,-4.78,0.0224399915316483,smoothed
p.har.n,-4.77,0.0225092032225203,smoothed
p.har.n,-4.76,0.0225786038251048,smoothed
p.har.n,-4.75,0.0226481937697099,smoothed
p.har.n,-4.74,0.0227179734873402,smoothed
p.har.n,-4.73,0.0227879434096973,smoothed
p.har.n,-4.72,0.0228581039691803,smoothed
p.har.n,-4.71,0.0229284555988852,smoothed
p.har.n,-4.7,0.0229989987326058,smoothed
p.har.n,-4.69,0.0230697338048334,smoothed
p.har.n,-4.68,0.0231406612507576,smoothed
p.har.n,-4.67,0.0232117815062655,smoothed
p.har.n,-4.66,0.0232830950079427,smoothed
p.har.n,-4.65,0.0233546021930732,smoothed
p.har.n,-4.64,0.0234263034996394,smoothed
p.har.n,-4.63,0.0234981993663225,smoothed
p.har.n,-4.62,0.0235702902325024,smoothed
p.har.n,-4.61,0.0236425765382581,smoothed
p.har.n,-4.6,0.0237150587243677,smoothed
p.har.n,-4.59,0.0237877372323084,smoothed
p.har.n,-4.58,0.0238606125042571,smoothed
p.har.n,-4.57,0.02393368498309,smoothed
p.har.n,-4.56,0.024006955112383,smoothed
p.har.n,-4.55,0.0240804233364118,smoothed
p.har.n,-4.54,0.0241540901001519,smoothed
p.har.n,-4.53,0.0242279558492789,smoothed
p.har.n,-4.52,0.0243020210301687,smoothed
p.har.n,-4.51,0.024376286089897,smoothed
p.har.n,-4.5,0.0244507514762403,smoothed
p.har.n,-4.49,0.0245254176376752,smoothed
p.har.n,-4.48,0.0246002850233789,smoothed
p.har.n,-4.47,0.0246753540832293,smoothed
p.har.n,-4.46,0.0247506252678051,smoothed
p.har.n,-4.45,0.0248260990283854,smoothed
p.har.n,-4.4399999999999995,0.0249017758169507,smoothed
p.har.n,-4.43,0.0249776560861821,smoothed
p.har.n,-4.42,0.0250537402894617,smoothed
p.har.n,-4.41,0.0251300288808729,smoothed
p.har.n,-4.4,0.0252065223152001,smoothed
p.har.n,-4.39,0.025283221047929,smoothed
p.har.n,-4.38,0.0253601255352464,smoothed
p.har.n,-4.37,0.0254372362340407,smoothed
p.har.n,-4.36,0.0255145536019013,smoothed
p.har.n,-4.35,0.0255920780971194,smoothed
p.har.n,-4.34,0.0256698101786872,smoothed
p.har.n,-4.33,0.0257477503062988,smoothed
p.har.n,-4.32,0.0258258989403496,smoothed
p.har.n,-4.31,0.0259042565419364,smoothed
p.har.n,-4.3,0.0259828235728579,smoothed
p.har.n,-4.29,0.0260616004956141,smoothed
