species,matric_pot,hyphal_rate,type
t.chion.n,-0.0,0.1997174432,smoothed
t.chion.n,-0.01,0.2941227537,smoothed
t.chion.n,-0.02,0.4187838032,smoothed
t.chion.n,-0.03,0.5769439075,smoothed
t.chion.n,-0.04,0.7697369715,smoothed
t.chion.n,-0.05,0.99552932,smoothed
t.chion.n,-0.06,1.249593435,smoothed
t.chion.n,-0.07,1.5242459041,smoothed
t.chion.n,-0.08,1.8094887331,smoothed
t.chion.n,-0.09,2.0940753964,smoothed
t.chion.n,-0.1,2.3668153237,smoothed
t.chion.n,-0.11,2.617867584,smoothed
t.chion.n,-0.12,2.8397774101,smoothed
t.chion.n,-0.13,3.0280769443,smoothed
t.chion.n,-0.14,3.1813815129,smoothed
t.chion.n,-0.15,3.3010297,smoothed
t.chion.n,-0.16,3.3904053324,smoothed
t.chion.n,-0.17,3.4541210392,smoothed
t.chion.n,-0.18,3.497233487,smoothed
t.chion.n,-0.19,3.5246130197,smoothed
t.chion.n,-0.2,3.5405268273,smoothed
t.chion.n,-0.21,3.5484358247,smoothed
t.chion.n,-0.22,3.5509647642,smoothed
t.chion.n,-0.23,3.5499870124,smoothed
t.chion.n,-0.24,3.5467664493,smoothed
t.chion.n,-0.25,3.5421116932,smoothed
t.chion.n,-0.26,3.536514636,smoothed
t.chion.n,-0.27,3.5302604743,smoothed
t.chion.n,-0.28,3.5235072671,smoothed
t.chion.n,-0.29,3.5163391202,smoothed
t.chion.n,-0.3,3.5087993656,smoothed
t.chion.n,-0.31,3.500909998,smoothed
t.chion.n,-0.32,3.4926824104,smoothed
t.chion.n,-0.33,3.4841230036,smoothed
t.chion.n,-0.34,3.4752359643,smoothed
t.chion.n,-0.35,3.4660245722,smoothed
t.chion.n,-0.36,3.4564917845,smoothed
t.chion.n,-0.37,3.4466404839,smoothed
t.chion.n,-0.38,3.4364735792,smoothed
t.chion.n,-0.39,3.425994043,smoothed
t.chion.n,-0.4,3.415204925,smoothed
t.chion.n,-0.41,3.4041093556,smoothed
t.chion.n,-0.42,3.3927105462,smoothed
t.chion.n,-0.43,3.381011788,smoothed
t.chion.n,-0.44,3.369016451,smoothed
t.chion.n,-0.45,3.3567279822,smoothed
t.chion.n,-0.46,3.3441499037,smoothed
t.chion.n,-0.47,3.3312858117,smoothed
t.chion.n,-0.48,3.318139374,smoothed
t.chion.n,-0.49,3.3047143288,smoothed
t.chion.n,-0.5,3.2910144829,smoothed
t.chion.n,-0.51,3.2770437096,smoothed
t.chion.n,-0.52,3.2628059471,smoothed
t.chion.n,-0.53,3.2483051966,smoothed
t.chion.n,-0.54,3.2335455204,smoothed
t.chion.n,-0.55,3.2185310402,smoothed
t.chion.n,-0.56,3.2032659348,smoothed
t.chion.n,-0.57,3.1877544386,smoothed
t.chion.n,-0.58,3.1720008394,smoothed
t.chion.n,-0.59,3.1560094763,smoothed
t.chion.n,-0.6,3.1397847381,smoothed
t.chion.n,-0.61,3.1233310609,smoothed
t.chion.n,-0.62,3.1066529265,smoothed
t.chion.n,-0.63,3.08975486,smoothed
t.chion.n,-0.64,3.072641428,smoothed
t.chion.n,-0.65,3.0553172362,smoothed
t.chion.n,-0.66,3.0377869279,smoothed
t.chion.n,-0.67,3.0200551816,smoothed
t.chion.n,-0.68,3.0021267089,smoothed
t.chion.n,-0.69,2.9840062525,smoothed
t.chion.n,-0.7,2.9656985843,smoothed
t.chion.n,-0.71,2.9472085028,smoothed
t.chion.n,-0.72,2.9285408317,smoothed
t.chion.n,-0.73,2.9097004174,smoothed
t.chion.n,-0.74,2.8906921269,smoothed
t.chion.n,-0.75,2.8715208461,smoothed
t.chion.n,-0.76,2.8521914772,smoothed
t.chion.n,-0.77,2.832708937,smoothed
t.chion.n,-0.78,2.8130781549,smoothed
t.chion.n,-0.79,2.7933040704,smoothed
t.chion.n,-0.8,2.7733916317,smoothed
t.chion.n,-0.81,2.7533457931,smoothed
t.chion.n,-0.82,2.7331715134,smoothed
t.chion.n,-0.83,2.7128737533,smoothed
t.chion.n,-0.84,2.6924574744,smoothed
t.chion.n,-0.85,2.6719276362,smoothed
t.chion.n,-0.86,2.6512891947,smoothed
t.chion.n,-0.87,2.6305471003,smoothed
t.chion.n,-0.88,2.6097062958,smoothed
t.chion.n,-0.89,2.5887717149,smoothed
t.chion.n,-0.9,2.5677482797,smoothed
t.chion.n,-0.91,2.5466408991,smoothed
t.chion.n,-0.92,2.5254544671,smoothed
t.chion.n,-0.93,2.5041938609,smoothed
t.chion.n,-0.94,2.4828639388,smoothed
t.chion.n,-0.95,2.4614695389,smoothed
t.chion.n,-0.96,2.4400154771,smoothed
t.chion.n,-0.97,2.4185065451,smoothed
t.chion.n,-0.98,2.3969475094,smoothed
t.chion.n,-0.99,2.3753431089,smoothed
t.chion.n,-1.0,2.3536980538,smoothed
t.chion.n,-1.01,2.3320170234,smoothed
t.chion.n,-1.02,2.3103046654,smoothed
t.chion.n,-1.03,2.2885655932,smoothed
t.chion.n,-1.04,2.2668043856,smoothed
t.chion.n,-1.05,2.2450255843,smoothed
t.chion.n,-1.06,2.2232336928,smoothed
t.chion.n,-1.07,2.2014331754,smoothed
t.chion.n,-1.08,2.1796284552,smoothed
t.chion.n,-1.09,2.1578239127,smoothed
t.chion.n,-1.1,2.1360238853,smoothed
t.chion.n,-1.11,2.1142326649,smoothed
t.chion.n,-1.12,2.0924544976,smoothed
t.chion.n,-1.13,2.070693582,smoothed
t.chion.n,-1.14,2.0489540678,smoothed
t.chion.n,-1.15,2.0272400553,smoothed
t.chion.n,-1.16,2.0055555938,smoothed
t.chion.n,-1.17,1.9839046808,smoothed
t.chion.n,-1.18,1.9622912605,smoothed
t.chion.n,-1.19,1.9407192236,smoothed
t.chion.n,-1.2,1.9191924054,smoothed
t.chion.n,-1.21,1.8977145858,smoothed
t.chion.n,-1.22,1.8762894876,smoothed
t.chion.n,-1.23,1.8549207764,smoothed
t.chion.n,-1.24,1.833612059,smoothed
t.chion.n,-1.25,1.8123668834,smoothed
t.chion.n,-1.26,1.7911887376,smoothed
t.chion.n,-1.27,1.7700810488,smoothed
t.chion.n,-1.28,1.7490471834,smoothed
t.chion.n,-1.29,1.7280904457,smoothed
t.chion.n,-1.3,1.7072140775,smoothed
t.chion.n,-1.31,1.6864212577,smoothed
t.chion.n,-1.32,1.6657151019,smoothed
t.chion.n,-1.33,1.6450986616,smoothed
t.chion.n,-1.34,1.624574924,smoothed
t.chion.n,-1.35,1.6041468113,smoothed
t.chion.n,-1.36,1.583817181,smoothed
t.chion.n,-1.37,1.563588825,smoothed
t.chion.n,-1.38,1.5434644693,smoothed
t.chion.n,-1.39,1.5234467743,smoothed
t.chion.n,-1.4,1.5035383339,smoothed
t.chion.n,-1.41,1.4837416759,smoothed
t.chion.n,-1.42,1.4640592616,smoothed
t.chion.n,-1.43,1.4444934857,smoothed
t.chion.n,-1.44,1.4250466762,smoothed
t.chion.n,-1.45,1.4057210944,smoothed
t.chion.n,-1.46,1.3865189352,smoothed
t.chion.n,-1.47,1.3674423265,smoothed
t.chion.n,-1.48,1.3484933298,smoothed
t.chion.n,-1.49,1.3296739402,smoothed
t.chion.n,-1.5,1.3109860863,smoothed
t.chion.n,-1.51,1.2924316304,smoothed
t.chion.n,-1.52,1.2740123692,smoothed
t.chion.n,-1.53,1.2557300333,smoothed
t.chion.n,-1.54,1.2375862877,smoothed
t.chion.n,-1.55,1.2195827325,smoothed
t.chion.n,-1.56,1.2017209025,smoothed
t.chion.n,-1.57,1.1840022681,smoothed
t.chion.n,-1.58,1.1664282354,smoothed
t.chion.n,-1.59,1.1490001467,smoothed
t.chion.n,-1.6,1.1317192807,smoothed
t.chion.n,-1.61,1.1145868531,smoothed
t.chion.n,-1.62,1.0976040174,smoothed
t.chion.n,-1.63,1.0807718647,smoothed
t.chion.n,-1.64,1.0640914246,smoothed
t.chion.n,-1.65,1.0475636658,smoothed
t.chion.n,-1.66,1.0311894966,smoothed
t.chion.n,-1.67,1.0149697653,smoothed
t.chion.n,-1.68,0.9989052611,smoothed
t.chion.n,-1.69,0.9829967143,smoothed
t.chion.n,-1.7,0.9672447974,smoothed
t.chion.n,-1.71,0.9516501255,smoothed
t.chion.n,-1.72,0.936213257,smoothed
t.chion.n,-1.73,0.9209346944,smoothed
t.chion.n,-1.74,0.9058148847,smoothed
t.chion.n,-1.75,0.8908542206,smoothed
t.chion.n,-1.76,0.8760530409,smoothed
t.chion.n,-1.77,0.8614116313,smoothed
t.chion.n,-1.78,0.8469302252,smoothed
t.chion.n,-1.79,0.8326090046,smoothed
t.chion.n,-1.8,0.8184481006,smoothed
t.chion.n,-1.81,0.8044475947,smoothed
t.chion.n,-1.82,0.790607519,smoothed
t.chion.n,-1.83,0.7769278575,smoothed
t.chion.n,-1.84,0.7634085466,smoothed
t.chion.n,-1.85,0.7500494765,smoothed
t.chion.n,-1.86,0.7368504911,smoothed
